ID,journal
14316246,meltdownattack.com
14316247,GTE Laboratories Incorporated
14316248,University of California at Berkeley
14316249,ANSI X3H2
14316250,ANSI X2H2
14316251,IWBS Report
14316252,LILOG-Report
14316253,LILOG-Memo
14316254,IBM Publication
14316255,"Research Report / RJ / IBM / San Jose, California"
14316256,Research Report / G / IBM / Cambridge Scientific Center
14316257,"Universität Trier, Mathematik/Informatik, Forschungsbericht"
14316258,Technical Report
14316259,"Forschungsberichte, TU Munich"
14316260,Digital System Research Center Report
14316261,Compulog Newsletter
14316262,Hydrology and Earth System Sciences
14316263,"Technical Rep. UKSC 0060, IBM United Kingdom Scientific Centre"
14316264,"ETH Zurich, Department of Computer Science / Technical Report"
14316265,Sci. Eng. Ethics
14316266,J. Econ. Theory
14316267,Web Intell. Agent Syst.
14316268,Web Intell.
14316269,IEEE Trans. Hum. Mach. Syst.
14316270,Comput. Chem. Eng.
